character,itemName,itemID,offspec,date
Allyallyally,Talisman of Volatile Power,47946,0,2023-07-22
Bataar,Trophy of the Crusade,47242,0,2023-07-22
Bware,Sharpened Fang of the Mystics,49304,1,2023-07-22
Bwareofmehs,Belt of the Frozen Reach,47924,0,2023-07-22
Bwareofmehs,Trophy of the Crusade,47242,0,2023-07-22
Chirra,Dreadscale Armguards,47918,0,2023-07-22
Chirra,Head of Onyxia,49644,1,2023-07-22
Chirra,Lothar's Edge,48713,0,2023-07-22
Chirra,The Lion's Maw,47966,0,2023-07-22
Chirra,Trophy of the Crusade,47242,0,2023-07-22
Kellindir,Ashen Sack of Gems,49294,0,2023-07-22
Kellindir,Enlarged Onyxia Hide Backpack,49295,0,2023-07-22
Kellindir,Felspark Bindings,47927,1,2023-07-22
Kellindir,Purified Shard of the Scale,49310,1,2023-07-22
Kellindir,Stormrage Antlers,49327,0,2023-07-22
Kellindir,Trophy of the Crusade,47242,0,2023-07-22
Percy,Sabatons of the Lingering Vortex,47952,1,2023-07-22
Tangl,Dirk of the Night Watch,47938,1,2023-07-22
Tangl,Fordragon Blades,47979,0,2023-07-22
