character,itemName,itemID,offspec,date
Amaricooper,Head of Onyxia,49644,0,2023-07-12
Ayan,Helm of the Silver Ranger,47942,0,2023-07-12
Dezbryant,Trophy of the Crusade,47242,0,2023-07-12
Itsvalken,Ashen Sack of Gems,49294,0,2023-07-12
Itsvalken,Frostforged Helmet,49333,0,2023-07-12
Itsvalken,Trophy of the Crusade,47242,0,2023-07-12
Lothryn,Shoulderpads of the Glacial Wilds,47923,0,2023-07-12
Oneel,Collar of Ceaseless Torment,47915,0,2023-07-12
Oneel,The Diplomat,47950,0,2023-07-12
Oneel,Trophy of the Crusade,47242,0,2023-07-12
Presumption,Endurance of the Infernal,47939,0,2023-07-12
Presumption,Fervor of the Frostborn,47949,0,2023-07-12
Presumption,Honor of the Fallen,48714,0,2023-07-12
Rumblen,Furious Gladiator's Pendant of Victory,42035,0,2023-07-12
Rumblen,Wrynn's Handguards of Conquest,48449,0,2023-07-12
Slightlyholy,Boots of the Grieving Soul,49234,0,2023-07-12
Slightlyholy,Trophy of the Crusade,47242,0,2023-07-12
Tipaartos,Enlarged Onyxia Hide Backpack,49295,0,2023-07-12
Tipaartos,Helmet of the Crypt Lord,47965,0,2023-07-12
Tipaartos,Legplates of the Immortal Spider,47976,0,2023-07-12
