character,itemName,itemID,offspec,date
Chirra,Noose of Malachite,50195,1,2023-10-27 21:20:36
Dallaregy,Rigormortis,50068,0,2023-10-27 19:27:23
Gweinae,Protector's Mark of Sanctification,52026,0,2023-10-27 19:27:08
Hailios,Rusted Bonespike Pauldrons,50617,0,2023-10-27
Jorek,Broken Ram Skull Helm,49986,1,2023-10-27 19:26:18
Jorek,Corpse Tongue Coin,50349,1,2023-10-27 19:26:50
Jorek,Gendarme's Cuirass,50606,0,2023-10-27 19:26:36
Jorek,Landsoul's Horned Greathelm,50072,0,2023-10-27 21:20:27
Kellindir,Faceplate of the Forgotten,50060,0,2023-10-27 19:26:26
Kellindir,Vanquisher's Mark of Sanctification,52025,0,2023-10-27 19:27:16
Kinki,Bauble of True Blood,50354,0,2023-10-27 21:20:50
Kinki,Conqueror's Mark of Sanctification,52027,0,2023-10-27 21:20:54
Kinki,Fallen Lord's Handguards,49995,0,2023-10-27 19:26:44
Kinki,Ring of Rapid Ascent,50664,0,2023-10-27
Lkiu,Carapace of Forgotten Kings,50038,0,2023-10-27 19:26:41
Lkiu,Distant Land,50040,0,2023-10-27 19:27:19
Lothryn,Bone Sentinel's Amulet,50609,0,2023-10-27
Nythdarn,Bile-Encrusted Medallion,50682,0,2023-10-27
Prelation,Anub'ar Stalker's Gloves,50188,0,2023-10-27 21:20:43
Prelation,Dislodged Foreign Object,50348,0,2023-10-27
Romed,Shadow Silk Spindle,50173,0,2023-10-27 21:21:04
Sierci,Conqueror's Mark of Sanctification,52027,0,2023-10-27 21:21:00
Slightlyholy,Conqueror's Mark of Sanctification,52027,0,2023-10-27 19:26:59
Terrysneak,Ikfirus's Sack of Wonder,50656,0,2023-10-27
Terrysneak,Rib Spreader,50676,0,2023-10-27
Turdzerker,Shoulders of Mercy Killing,49991,0,2023-10-27 19:26:32
Turdzerker,Valanar's Other Signet Ring,50170,0,2023-10-27 21:20:47
Zilryp,Deathbringer's Will,50362,0,2023-10-27 19:26:54
ßudders,Conqueror's Mark of Sanctification,52027,0,2023-10-27 19:27:04
