character,itemName,itemID,offspec,date
Alelia,Enlarged Onyxia Hide Backpack,49295,0,2023-07-23
Alelia,Furious Gladiator's Cord of Salvation,41881,1,2023-07-23
Alelia,Furious Gladiator's Silk Handguards,41971,1,2023-07-23
Alelia,Spellstorm Blade,48708,0,2023-07-23
Eriksön,Trophy of the Crusade,47242,0,2023-07-23
Gandulug,Cold Convergence,47968,0,2023-07-23
Gandulug,Darkbane Pendant,47957,0,2023-07-23
Gandulug,Head of Onyxia,49644,0,2023-07-23
Gandulug,Trophy of the Crusade,47242,0,2023-07-23
Milkmanzlol,Ashen Sack of Gems,49294,0,2023-07-23
Milkmanzlol,Girdle of the Nether Champion,47937,1,2023-07-23
Milkmanzlol,Greathelm of Wrath,49321,0,2023-07-23
Nythdarn,Faceplate of the Silver Champion,47943,1,2023-07-23
Nythdarn,Gauntlets of Rising Anger,47917,1,2023-07-23
Nythdarn,Keen Obsidian Edged Blade,49299,1,2023-07-23
Pailock,Cinch of the Undying,47977,0,2023-07-23
Precaution,Crusader's Glory,47967,0,2023-07-23
Precaution,Loop of the Twin Val'kyr,47955,0,2023-07-23
Precaution,Trophy of the Crusade,47242,0,2023-07-23
Preformation,Belt of the Winter Solstice,47929,0,2023-07-23
Zilphyr,Trophy of the Crusade,47242,0,2023-07-23
