character,itemName,itemID,offspec,date
Ayan,BRK-1000,47521,0,2023-09-04
Ayan,Legguards of the Lurking Threat,47191,0,2023-09-04
Ayan,Lupine Longstaff,47130,0,2023-09-04
Bataar,Trophy of the Crusade,47242,1,2023-09-04
Catariina,Ring of the Darkmender,47224,0,2023-09-04
Catariina,Trophy of the Crusade,47242,0,2023-09-04
Chirra,Chestplate of the Frostborn Hero,47086,0,2023-09-04
Chirra,Legguards of Feverish Dedication,47061,0,2023-09-04
Chirra,Trophy of the Crusade,47242,1,2023-09-04
Eriksön,Greaves of the 7th Legion,47154,0,2023-09-04
Gweinae,Archon Glaive,47239,0,2023-09-04
Gweinae,Ring of Callous Aggression,47075,0,2023-09-04
Kinki,Breastplate of the Frozen Lake,47147,0,2023-09-04
Kinki,Journeyman's Backpack,3914,0,2023-09-04
Kinki,Large Knapsack,1725,0,2023-09-04
Kinki,Traveler's Backpack,4500,0,2023-09-04
Kinki,Trophy of the Crusade,47242,1,2023-09-04
Kittytricks,Vestments of the Shattered Fellowship,47096,0,2023-09-04
Nythdarn,Scroll of Enchant Gloves - Crusher,44458,1,2023-09-04
Pailock,Armbands of the Ashen Saint,47208,0,2023-09-04
Percy,Regalia of the Grand Vanquisher,47559,0,2023-09-04
Percy,Regalia of the Grand Vanquisher,47559,0,2023-09-04
Prelation,Belt of the Merciless Killer,47112,0,2023-09-04
Prelation,Breastplate of Cruel Intent,46965,0,2023-09-04
Prelation,Trophy of the Crusade,47242,0,2023-09-04
Prelation,Trophy of the Crusade,47242,1,2023-09-04
Queed,Trophy of the Crusade,47242,0,2023-09-04
Terrysneak,Trophy of the Crusade,47242,0,2023-09-04
Terrysneak,Trophy of the Crusade,47242,0,2023-09-04
Zilphyr,Talonstrike,46995,0,2023-09-04
ßudders,Cord of the Tenebrous Mist,46973,0,2023-09-04
ßudders,Flowing Vestments of Ascent,46993,0,2023-09-04
