character,itemName,itemID,offspec,date
Allyallyally,Reign of the Unliving,47188,0,2023-09-22
Ayan,Archon Glaive,47239,0,2023-09-22
Ayan,Belt of Deathly Dominion,47153,0,2023-09-22
Budderballs,Head of Onyxia,49644,0,2023-09-22
Catariina,Wail of the Val'kyr,47144,0,2023-09-22
Chirra,Decimation,47515,0,2023-09-22
Chirra,Frostforged Helm,49466,1,2023-09-22
Chirra,Sabatons of Lifeless Night,45599,0,2023-09-22
Dallaregy,Cord of the Tenebrous Mist,46973,0,2023-09-22
Dallaregy,Enlarged Onyxia Hide Backpack,49295,0,2023-09-22
Dallaregy,Ironmender,45271,0,2023-09-22
Dallaregy,Soulscribe,45527,0,2023-09-22
Dallaregy,Trophy of the Crusade,47242,0,2023-09-22
Dallaregy,Trophy of the Crusade,47242,0,2023-09-22
Eriksön,Regalia of the Grand Conqueror,47557,0,2023-09-22
Gweinae,Ashen Sack of Gems,49294,0,2023-09-22
Gweinae,Boundless Gaze,45610,0,2023-09-22
Gweinae,Reply-Code Alpha,46053,0,2023-09-22
Hailios,Belt of the Ice Burrower,46991,0,2023-09-22
Hailios,Flowing Sapphiron Drape,49491,0,2023-09-22
Hailios,Legguards of Concealed Hatred,47087,0,2023-09-22
Jorek,Saronite Plated Legguards,45267,1,2023-09-22
Jorek,Seal of the Betrayed King,45534,0,2023-09-22
Kellindir,Shiny Shard of the Flame,49464,0,2023-09-22
Kittytricks,Ring of Callous Aggression,47075,0,2023-09-22
Nythdarn,Regalia of the Grand Conqueror,47557,0,2023-09-22
Nythdarn,The Arbiter's Muse,47133,0,2023-09-22
Prelation,Chestguard of Flowing Elements,47209,1,2023-09-22
Prelation,Pauldrons of the Combatant,45474,0,2023-09-22
Slightlyholy,Regalia of the Grand Conqueror,47557,0,2023-09-22
Slightlyholy,Shroud of Alteration,45541,1,2023-09-22
Staminadaddi,Band of the Violent Temperment,46966,0,2023-09-22
Terrysneak,Belt of the Merciless Killer,47112,0,2023-09-22
Terrysneak,Cuirass of Calamitous Fate,47004,0,2023-09-22
Zilryp,"Voldrethar, Dark Blade of Oblivion",45516,0,2023-09-22
Zilryp,Greaves of the Stonewarder,45542,1,2023-09-22
Zilryp,Helm of Wrath,49479,0,2023-09-22
Zilryp,Legguards of Feverish Dedication,47061,0,2023-09-22
Zilryp,Platinum Band of the Aesir,45326,1,2023-09-22
ßudders,Regalia of the Grand Conqueror,47557,0,2023-09-22
